what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1332514170025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514380903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514382750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514447040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514463693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514477580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514484360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514484374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514484524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514492134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514497399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514497413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514497504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514552029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514566430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514601610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332514602116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332516923276
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332516924022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332516924945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332520605243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332520609787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332520691238
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1332520691528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332520692720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332520713185
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332520715487
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332520715629
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1332520715630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332520724634
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1332520724752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332520724772
