[ Thu Jul 05 17:02:17 CEST 2012 ]C:\workspace_eclipse\Work\myname
[ Thu Jul 05 17:02:17 CEST 2012 ]ROOT :C:\workspace_eclipse
[ Thu Jul 05 17:02:17 CEST 2012 ]Initalizing Properties Finder...
[ Thu Jul 05 17:02:17 CEST 2012 ]Succesfully Initalizing Properties Finder...
[ Thu Jul 05 17:02:17 CEST 2012 ]setting file to Default cofig file...
[ Thu Jul 05 17:02:18 CEST 2012 ]Registering Class :UserInterface
[ Thu Jul 05 17:02:18 CEST 2012 ]class com.tcs.berReader.gui.UserOperations is not Registered Yet!..
[ Thu Jul 05 17:02:18 CEST 2012 ]C:\workspace_eclipse\Work\myname
[ Thu Jul 05 17:02:18 CEST 2012 ]ROOT :C:\workspace_eclipse
[ Thu Jul 05 17:02:18 CEST 2012 ]Initalizing Properties ...
[ Thu Jul 05 17:02:18 CEST 2012 ]Succesfully loaded Properties...
[ Thu Jul 05 17:02:18 CEST 2012 ]class com.tcs.berReader.gui.BerFileListHandler is not Registered Yet!..
[ Thu Jul 05 17:02:18 CEST 2012 ]Registering Class :BerFileListHandler
[ Thu Jul 05 17:02:18 CEST 2012 ]Registering Class :UserOperations
[ Thu Jul 05 17:02:19 CEST 2012 ]class com.tcs.berReader.gui.UserMenuBar is not Registered Yet!..
[ Thu Jul 05 17:02:19 CEST 2012 ]Registering Class :UserMenuBar
[ Thu Jul 05 17:02:19 CEST 2012 ]class com.tcs.berReader.gui.UserToolbar is not Registered Yet!..
[ Thu Jul 05 17:02:19 CEST 2012 ]Registering Class :UserToolbar
[ Thu Jul 05 17:02:19 CEST 2012 ]class com.tcs.berReader.gui.Contoller is not Registered Yet!..
[ Thu Jul 05 17:02:19 CEST 2012 ]Registering Class :Contoller
[ Thu Jul 05 17:02:19 CEST 2012 ]class com.tcs.berReader.gui.ResultPane is not Registered Yet!..
[ Thu Jul 05 17:02:19 CEST 2012 ]Registering Class :ResultPane
[ Thu Jul 05 17:02:19 CEST 2012 ]Registering Class :BERListPane
[ Thu Jul 05 17:02:19 CEST 2012 ]Registering Class :BerViewPane
[ Thu Jul 05 17:02:19 CEST 2012 ]Class :ResultPane : is already Registered!..
[ Thu Jul 05 17:02:19 CEST 2012 ]class com.tcs.berReader.gui.StatusPane is not Registered Yet!..
[ Thu Jul 05 17:02:19 CEST 2012 ]Registering Class :StatusPane
[ Thu Jul 05 17:02:28 CEST 2012 ]Reading File :380g7x01_Fusion_5634_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :380g7x01_Fusion_5635_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgehp0242_Fusion_5002_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgehp024_Fusion_5002_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgelx008_Fusion_5010_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgelx008_Fusion_5010_14_1_4.ber.realigned
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgelx008_Fusion_5027_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgelx008_Fusion_5027_14_1_4.ber.realigned
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgelx008_Fusion_5029_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :bgelx008_Fusion_5029_14_1_4.ber.realigned
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :cbconiv_Fusion_10_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :cbconiv_Fusion_5001_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :cbconiv_Fusion_5002_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :cbconiv_Fusion_5002_14_1_4.ber.realigned
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :cbconiv_Fusion_5003_14_1_4.ber
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]Reading File :cbconiv_Fusion_5003_14_1_4.ber.realigned
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:29 CEST 2012 ]:):) NodeCrossConnections Identified..
